,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-2.470404268633488,-4.973031537681871,0.03222300041489534,False
3,cross,2,-3.655118799846711,-5.913388868973647,-1.3968487307197748,True
6,cross,3,-1.2965878265597843,-3.3543365002884467,0.761160847168878,False
9,cross,4,-2.610562177976388,-5.436861343977884,0.21573698802510766,False
12,cross,5,-1.7608985911412458,-4.361344383210838,0.8395472009283464,False
2,large_firm,1,33.05950587199367,5.27501870369132,60.84399304029603,True
5,large_firm,2,49.141004484763485,24.904349095327234,73.37765987419974,True
8,large_firm,3,23.16139233997106,0.8732906469326558,45.44949403300946,True
11,large_firm,4,38.545834603846,7.343698325438648,69.74797088225334,True
14,large_firm,5,27.39105464103989,-0.5190918280802173,55.301201110159994,False
1,pre_cohort_log_restriction_2_0,1,-0.030908606312495916,-0.6855224691150072,0.6237052564900154,False
4,pre_cohort_log_restriction_2_0,2,-0.33194835418003854,-1.16569634918807,0.5017996408279931,False
7,pre_cohort_log_restriction_2_0,3,0.15687324930434893,-0.9123917276960749,1.2261382263047729,False
10,pre_cohort_log_restriction_2_0,4,0.046884679740694796,-1.2117499452100173,1.3055193046914069,False
13,pre_cohort_log_restriction_2_0,5,0.35708952133913435,-1.070502491799901,1.7846815344781697,False
