,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-2.468545944541038,-4.97034813035064,0.033256241268563524,False
3,cross,2,-3.6564522265219885,-5.9138689937050035,-1.399035459338974,True
6,cross,3,-1.3014044927468327,-3.3616146268981844,0.7588056414045188,False
9,cross,4,-2.611382514644749,-5.43661353953725,0.2138485102477521,False
12,cross,5,-1.7632931459277774,-4.362573304676339,0.8359870128207842,False
2,large_firm,1,33.03809556795467,5.262733290936698,60.813457844972646,True
5,large_firm,2,49.15646100690453,24.928344097340712,73.38457791646834,True
8,large_firm,3,23.21486082095463,0.8921604002572856,45.53756124165197,True
11,large_firm,4,38.55625134729317,7.362621237168284,69.74988145741806,True
14,large_firm,5,27.41601761453277,-0.48403718902929427,55.31607241809483,False
1,pre_cohort_log_restriction_2_0,1,-0.020546751405565982,-0.6746887877584341,0.6335952849473022,False
4,pre_cohort_log_restriction_2_0,2,-0.3523076878914058,-1.1812291816819924,0.47661380589918084,False
7,pre_cohort_log_restriction_2_0,3,0.10690773906020991,-0.9696627754519193,1.1834782535723392,False
10,pre_cohort_log_restriction_2_0,4,0.000550192811095202,-1.2611108088021863,1.2622111944243766,False
13,pre_cohort_log_restriction_2_0,5,0.24048255319971218,-1.203534161558835,1.6844992679582593,False
